clone_id,overall_score,score_productivity,score_quality,score_stability,omics_score,rl_robustness_score,decision,bottleneck,recommended_intervention,post_engineering_score,engineering_gain
CLONE_4629,39.418285469309765,0.2165905018445139,91.24933375223004,84.59981293066927,27.003494863331913,65.47819551806491,Advance with Monitoring,productivity,XBP1s_secretory_support,54.98682596216925,15.568540492859483
CLONE_3186,39.34445050796506,4.5141965919170985,88.06635810859984,84.35319585332488,24.51139228528717,63.35712906556814,Engineer,productivity,XBP1s_secretory_support,56.328375051097126,16.98392454313207
CLONE_0678,39.31345987794156,3.0109172040157848,83.64366415996052,89.21705087401998,26.533721180332805,65.36074686246188,Engineer,productivity,XBP1s_secretory_support,51.986899388625964,12.673439510684403
CLONE_1591,39.03313688234016,4.477601471727066,97.7253650728653,83.17502572557218,21.86211444081412,60.42232576645873,Engineer,productivity,XBP1s_secretory_support,52.083301217314094,13.050164334973935
CLONE_3007,38.97662864942185,0.0408174237186011,92.65342154035692,99.22494867529066,11.224678860092911,51.81611294793402,Engineer,productivity,XBP1s_secretory_support,54.3520535909399,15.375424941518055
CLONE_2526,38.48366779432967,0.2596936242508691,80.62117658862171,84.94678667889718,27.089179691605676,68.4514136635278,Engineer,productivity,XBP1s_secretory_support,52.95800555366082,14.47433775933115
CLONE_0894,38.45727910402831,3.201970794830738,77.53160941188307,88.88726222629082,18.321967992344543,74.30955574844299,Engineer,productivity,XBP1s_secretory_support,55.585773769218854,17.128494665190544
CLONE_1502,38.351938273877906,0.038590956455226,90.11375279528076,79.62145340944788,27.157775393973083,56.74354879475438,Engineer,productivity,XBP1s_secretory_support,53.03589012283548,14.683951848957577
CLONE_3826,38.033421335417245,3.718850756284927,84.55868473297087,89.59682742685048,19.077136366064,65.41596809817591,Engineer,productivity,XBP1s_secretory_support,51.708813932746665,13.67539259732942
CLONE_4425,37.88027675796117,1.9923209927297865,87.05763858093508,82.69278901513675,22.144867457329408,68.15724284147811,Engineer,productivity,XBP1s_secretory_support,57.31157429580428,19.431297537843108
CLONE_2985,37.408394236212494,0.5415831695166421,84.3428719936895,84.07638191190844,18.858403835466035,64.01719122552647,Engineer,productivity,XBP1s_secretory_support,53.45684163523942,16.048447399026927
CLONE_0834,37.281411382074566,5.982796858488476,77.8927211795186,86.55373733386386,23.478992430959757,59.34777545328286,Engineer,productivity,XBP1s_secretory_support,53.916467791450415,16.63505640937585
CLONE_4843,37.25944308805849,0.8705629072372953,88.06352499048438,83.32385276446136,21.327689904530143,62.14322627836517,Engineer,productivity,XBP1s_secretory_support,50.90994671563158,13.650503627573087
CLONE_1719,37.14808712493222,0.8995774558454848,92.18441931629852,73.06057959154926,21.74014282252951,61.871973206801755,Engineer,productivity,XBP1s_secretory_support,52.559321675881854,15.411234550949636
CLONE_2827,36.94011997976733,1.313676935607998,85.72325452205435,89.85101877814715,22.365906196841983,54.562154071687175,Engineer,productivity,XBP1s_secretory_support,53.66196515918706,16.72184517941973
CLONE_0908,36.737344513999176,1.3417414514806143,78.87147563894749,87.61156763716484,15.708050446681082,68.19376433227207,Engineer,productivity,XBP1s_secretory_support,50.93535735915457,14.198012845155397
CLONE_2723,36.58784564596918,7.876118997274227,73.24225850733987,84.23722962463773,20.136671640494168,69.21444077112446,Engineer,productivity,XBP1s_secretory_support,53.83924168266053,17.251396036691347
CLONE_1145,36.4493628184423,1.2117925410167203,72.28456781967898,91.65976397459272,20.27560240857222,66.80426479823677,Engineer,productivity,XBP1s_secretory_support,51.74808543860469,15.298722620162387
CLONE_3527,36.41136909857655,2.716301966172691,85.78047881399388,86.04884876251411,18.260070619115712,61.28309742296428,Engineer,productivity,XBP1s_secretory_support,52.32798159898999,15.916612500413443
CLONE_1045,36.39676478792112,4.308824275696624,85.60261158814707,85.97182991114532,15.712736197633747,64.28856753268586,Engineer,productivity,XBP1s_secretory_support,51.69335156346233,15.296586775541208
CLONE_1091,36.18652014344423,0.0547659822041508,81.82352802506934,83.12342360907665,17.252198536240044,57.16701743307742,Engineer,productivity,XBP1s_secretory_support,56.3910765124621,20.204556369017872
CLONE_1437,36.14339083561131,5.598173423220868,85.23929116210928,82.58064903454235,19.731967311188075,59.47617938353612,Engineer,productivity,XBP1s_secretory_support,52.61639638613544,16.473005550524135
CLONE_3239,36.10860744594343,1.6349002649406614,84.59127527318226,88.31591740089144,24.3923129322626,54.96691083484655,Engineer,productivity,XBP1s_secretory_support,50.49318558803163,14.384578142088202
CLONE_3546,36.07501202943109,0.0614510716758461,91.01265467237091,84.06217322483862,18.722093888674944,46.95945521132116,Engineer,productivity,XBP1s_secretory_support,54.22010185363747,18.14508982420638
CLONE_1361,36.02827769958798,2.555323589212211,67.51367502418574,91.7055816341954,20.923457300764316,64.18217125683037,Engineer,productivity,XBP1s_secretory_support,50.086590399645935,14.058312700057954
